pl_orbper,pl_orbsmax,pl_eqt,st_logg,st_mass,pl_insol,pl_rade,st_age,st_rad,st_met,st_teff,ra,dec,disposition,source
1.57771549,0.0819,870.5,3.83915,1.66,133.2115,2.47,4.765000000000001,2.56752,-0.08,7333.0,170.133417,-2.8982132,CANDIDATE,K2
13.0113,0.0819,713.0,4.51267,0.92,133.2115,2.43,4.765000000000001,0.880221,-0.08,5347.0,183.3092954,-2.844186,CANDIDATE,K2
40.70206194,0.0819,870.5,4.67427,0.565387,133.2115,2.47,4.765000000000001,0.572892,-0.08,3759.0,178.420349,-2.5717754,CANDIDATE,K2
21.204739,0.0819,870.5,3.91,0.959,133.2115,9.11013939,4.765000000000001,1.761722,-0.26,5154.0,182.2046312,-2.4646145,CANDIDATE,K2
2.519334,0.0819,870.5,4.17,0.959,133.2115,3.91,4.765000000000001,1.45,-0.08,6283.0,171.2359519,-2.0851597,CANDIDATE,K2
2.5194039,0.0819,870.5,4.447,0.959,219.344,7.65729,4.765000000000001,1.76,-0.08,6380.0,171.2359519,-2.0851597,CANDIDATE,K2
2.519386,0.0819,870.5,4.447,0.959,133.2115,19.6,4.765000000000001,2.03,-0.08,5662.0,171.2359519,-2.0851597,CANDIDATE,K2
2.51881781,0.0819,870.5,4.447,0.959,133.2115,2.47,4.765000000000001,1.76277,-0.67,6380.0,171.2359519,-2.0851597,CANDIDATE,K2
2.5194078,0.0819,870.5,4.447,0.959,133.2115,7.99,4.765000000000001,1.72,-0.08,7119.0,171.2359519,-2.0851597,CANDIDATE,K2
13.383629,0.0819,870.5,4.7,0.959,133.2115,2.87289326,4.765000000000001,0.815235,0.16,5216.0,184.0351247,-1.6737612,CANDIDATE,K2
13.38382,0.0819,608.0,4.73383,0.86,133.2115,2.7,4.765000000000001,0.65973,0.192,5113.71,184.0351247,-1.6737612,CANDIDATE,K2
11.8951,0.0819,870.5,4.447,0.959,133.2115,2.47,4.765000000000001,0.68,-0.08,5040.0,185.1812113,-1.5883337,CANDIDATE,K2
40.1401,0.0819,870.5,4.447,0.959,133.2115,20.8,4.765000000000001,0.716,-0.08,5662.0,173.1750869,-1.5587834,CANDIDATE,K2
7.4433,0.0819,870.5,4.447,0.959,133.2115,2.73,4.765000000000001,0.724,-0.08,5662.0,168.7367646,-1.4622181,CANDIDATE,K2
2.638,0.0819,1313.0,4.447,0.959,133.2115,2.91,4.765000000000001,0.966,0.0784,4264.47,184.5853275,-1.0989451,CANDIDATE,K2
27.47083,0.0819,480.0,4.59659,0.81,133.2115,3.36,4.765000000000001,0.749863,-0.2022,4947.03,183.188479,-1.0748315,CANDIDATE,K2
2.8268121,0.0819,870.5,4.447,0.959,133.2115,40.1,4.765000000000001,0.98,-0.08,5736.0,174.0440867,-0.8407078,CANDIDATE,K2
0.72091,0.0819,870.5,4.4,0.959,133.2115,1.5,4.765000000000001,0.94,-0.053,5633.0,184.6021322,-0.5512886,CONFIRMED,K2
4.44044,0.0819,870.5,4.447,0.959,133.2115,1.32,4.765000000000001,1.053,-0.08,5662.0,173.6002346,-0.3345702,CANDIDATE,K2
4.4416421,0.0819,870.5,4.447,0.959,133.2115,1.17,4.765000000000001,0.9,-0.08,5547.0,173.6002346,-0.3345702,CANDIDATE,K2
4.441258,0.0819,870.5,4.54,0.959,133.2115,1.12422498,4.765000000000001,0.833852,-0.13,5450.0,173.6002346,-0.3345702,CANDIDATE,K2
11.20381,0.0819,870.5,4.447,0.959,133.2115,2.18,4.765000000000001,1.1,-0.08,5662.0,170.6512345,-0.2798534,CANDIDATE,K2
8.006875,0.0819,870.5,4.538,0.904,133.2115,2.384,4.765000000000001,0.846,-0.047,5403.0,185.6973984,-0.1218824,CANDIDATE,K2
3.3643115,0.0819,870.5,4.447,0.959,133.2115,85.6,4.765000000000001,1.32,-0.08,6240.0,168.187478,0.3478732,CANDIDATE,K2
2.13174,0.0819,870.5,4.447,0.78,133.2115,0.692,4.765000000000001,0.966,-0.08,5662.0,168.9366786,0.4880606,CONFIRMED,K2
13.837814,0.0819,870.5,4.447,0.959,133.2115,1.96,4.765000000000001,0.7,-0.08,4535.0,168.9366786,0.4880606,CANDIDATE,K2
13.8394,0.0819,870.5,4.447,0.959,133.2115,1.29,4.765000000000001,0.554,-0.08,5662.0,168.9366786,0.4880606,CANDIDATE,K2
7.79983,0.0819,870.5,4.447,0.959,133.2115,1.37,4.765000000000001,0.554,-0.08,5662.0,168.9366786,0.4880606,CANDIDATE,K2
7.7991586,0.0819,870.5,4.447,0.959,133.2115,1.57,4.765000000000001,0.7,-0.08,4535.0,168.9366786,0.4880606,CANDIDATE,K2
3.883,0.0819,870.5,4.447,0.959,162.0,1.06,4.765000000000001,0.554,-0.08,5662.0,168.9366786,0.4880606,CANDIDATE,K2
2.3330982,0.0819,870.5,4.447,0.959,133.2115,5.48,4.765000000000001,0.5,-0.08,3726.0,173.5625041,0.7138555,CANDIDATE,K2
2.33293,0.0819,870.5,5.062,0.959,133.2115,3.2,4.765000000000001,0.224,-0.08,3508.0,173.5625041,0.7138555,CANDIDATE,K2
2.333123,0.0819,870.5,4.447,0.959,133.2115,2.95,4.765000000000001,0.224,-0.08,5662.0,173.5625041,0.7138555,CANDIDATE,K2
20.2073,0.0819,870.5,4.447,0.959,133.2115,2.12,4.765000000000001,0.7624,-0.08,5662.0,171.2596557,0.7613692,CANDIDATE,K2
36.7099,0.0819,870.5,4.447,0.959,133.2115,2.47,4.765000000000001,5.33871,-0.612,5069.12,174.3144865,0.782986,CANDIDATE,K2
36.762337,0.0819,870.5,4.447,0.959,133.2115,3.44,4.765000000000001,0.75,-0.08,4932.0,174.3144865,0.782986,CANDIDATE,K2
19.565799,0.0819,870.5,4.652,1.193,133.2115,6.412,4.765000000000001,0.854,-0.122,4486.0,163.715838,0.848677,CANDIDATE,K2
6.39916,0.0819,870.5,4.447,0.959,133.2115,1.48,4.765000000000001,0.7006,-0.08,5662.0,172.804304,0.9586366,CANDIDATE,K2
6.3991398,0.0819,870.5,4.447,0.959,133.2115,1.85,4.765000000000001,0.8,-0.08,5210.0,172.804304,0.9586366,CANDIDATE,K2
2.72273204,0.0819,870.5,3.81097,1.93,133.2115,2.47,4.765000000000001,2.85976,-0.08,8002.0,171.6509741,1.055162,CANDIDATE,K2
15.695142,0.0819,870.5,4.719,0.743,133.2115,2.028,4.765000000000001,0.625,-0.315,4270.0,163.0590829,1.1547858,CANDIDATE,K2
2.48038,0.0819,870.5,4.447,0.959,133.2115,1.44,4.765000000000001,1.27,-0.08,5662.0,172.8169888,1.1908377,CANDIDATE,K2
1.9668579,0.0819,870.5,4.447,0.959,133.2115,1.51,4.765000000000001,0.77,-0.08,5063.0,169.1468835,1.2284084,CANDIDATE,K2
1.96712,0.0819,870.5,4.447,0.959,133.2115,1.73,4.765000000000001,0.826,-0.08,5662.0,169.1468835,1.2284084,CANDIDATE,K2
8.3606759,0.0819,870.5,4.447,0.959,133.2115,2.47,4.765000000000001,0.52,-0.98,4419.0,176.0758509,1.3759629,CANDIDATE,K2
12.726743,0.0819,870.5,4.447,0.959,133.2115,1.91,4.765000000000001,0.73,-0.08,4767.0,177.9249905,1.3796544,CANDIDATE,K2
13.2359,0.0819,870.5,4.447,0.959,133.2115,2.09,4.765000000000001,0.924,-0.08,5662.0,177.2334424,1.4654037,CANDIDATE,K2
0.18746328,0.0819,870.5,4.447,0.959,133.2115,217.0,4.765000000000001,17.27,-0.08,46696.0,177.1399358,1.483155,CANDIDATE,K2
8.6382631,0.0819,870.5,4.447,0.959,133.2115,8.53,4.765000000000001,0.5,-0.08,3720.0,176.9920988,1.5102769,CANDIDATE,K2
8.63829,0.0819,870.5,4.844,0.959,133.2115,6.81,4.765000000000001,0.438,-0.08,3960.0,176.9920988,1.5102769,CANDIDATE,K2
